"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1268","TC-22 should add five tasks in rapid succession without losing any","webkit","2026-02-22","passed","2026-02-22","Boundary conditions","validation.spec.ts","",""
"","544","TC-06 should mark a task as completed","firefox","2026-02-22","passed","2026-02-22","Task completion toggle","crud.spec.ts","",""
"","2852","TC-11 should display tasks returned by the API on page load","webkit","2026-02-22","passed","2026-02-22","Initial data load","api-behavior.spec.ts","",""
"","1116","TC-01 should add a new task via the Add button","webkit","2026-02-22","passed","2026-02-22","Task creation","crud.spec.ts","",""
"","1464","TC-20 should not send a POST request when input is empty","firefox","2026-02-22","passed","2026-02-22","Input validation","validation.spec.ts","",""
"","496","TC-03 should clear the input field after adding a task","firefox","2026-02-22","passed","2026-02-22","Task creation","crud.spec.ts","",""
"","778","TC-10 should show all tasks when All filter is selected","firefox","2026-02-22","passed","2026-02-22","Filtering","crud.spec.ts","",""
"","706","TC-09 should show only active tasks when Active filter is active","firefox","2026-02-22","passed","2026-02-22","Filtering","crud.spec.ts","",""
"","867","TC-02 should add a new task by pressing Enter","webkit","2026-02-22","passed","2026-02-22","Task creation","crud.spec.ts","",""
"","5332","TC-17 should show an error message when the API returns a 500","chromium","2026-02-22","failed","2026-02-22","Resilience to adverse network conditions","api-behavior.spec.ts","",""
"","667","TC-18 should not create a task when the input is empty","webkit","2026-02-22","passed","2026-02-22","Input validation","validation.spec.ts","",""
"","250","TC-12 should POST the correct payload when creating a task","chromium","2026-02-22","passed","2026-02-22","Request payload validation","api-behavior.spec.ts","",""
"","1470","TC-20 should not send a POST request when input is empty","webkit","2026-02-22","passed","2026-02-22","Input validation","validation.spec.ts","",""
"","5429","TC-04 should update a task title on save","chromium","2026-02-22","failed","2026-02-22","Task editing","crud.spec.ts","",""
"","397","TC-11 should display tasks returned by the API on page load","chromium","2026-02-22","passed","2026-02-22","Initial data load","api-behavior.spec.ts","",""
"","378","TC-08 should show only completed tasks when Completed filter is active","chromium","2026-02-22","passed","2026-02-22","Filtering","crud.spec.ts","",""
"","3090","TC-16 should display the task after a delayed API response","chromium","2026-02-22","passed","2026-02-22","Resilience to adverse network conditions","api-behavior.spec.ts","",""
"","254","TC-15 should receive an id in the API response after creating a task","chromium","2026-02-22","passed","2026-02-22","Request payload validation","api-behavior.spec.ts","",""
"","872","TC-23 should show an empty list after a page reload (API non-persistence)","firefox","2026-02-22","passed","2026-02-22","Boundary conditions","validation.spec.ts","",""
"","481","TC-02 should add a new task by pressing Enter","chromium","2026-02-22","passed","2026-02-22","Task creation","crud.spec.ts","",""
"","1124","TC-09 should show only active tasks when Active filter is active","webkit","2026-02-22","passed","2026-02-22","Filtering","crud.spec.ts","",""
"","1189","TC-20 should not send a POST request when input is empty","chromium","2026-02-22","passed","2026-02-22","Input validation","validation.spec.ts","",""
"","330","TC-07 should unmark a completed task","chromium","2026-02-22","passed","2026-02-22","Task completion toggle","crud.spec.ts","",""
"","745","TC-04 should update a task title on save","firefox","2026-02-22","passed","2026-02-22","Task editing","crud.spec.ts","",""
"","361","TC-21 should not allow editing a task title to an empty string","chromium","2026-02-22","passed","2026-02-22","Input validation","validation.spec.ts","",""
"","666","TC-19 should not create a task when the input contains only whitespace","webkit","2026-02-22","passed","2026-02-22","Input validation","validation.spec.ts","",""
"","1087","TC-08 should show only completed tasks when Completed filter is active","webkit","2026-02-22","passed","2026-02-22","Filtering","crud.spec.ts","",""
"","3333","TC-16 should display the task after a delayed API response","firefox","2026-02-22","passed","2026-02-22","Resilience to adverse network conditions","api-behavior.spec.ts","",""
"","956","TC-07 should unmark a completed task","webkit","2026-02-22","passed","2026-02-22","Task completion toggle","crud.spec.ts","",""
"","394","TC-10 should show all tasks when All filter is selected","chromium","2026-02-22","passed","2026-02-22","Filtering","crud.spec.ts","",""
"","615","TC-19 should not create a task when the input contains only whitespace","firefox","2026-02-22","passed","2026-02-22","Input validation","validation.spec.ts","",""
"","329","TC-03 should clear the input field after adding a task","chromium","2026-02-22","passed","2026-02-22","Task creation","crud.spec.ts","",""
"","3572","TC-16 should display the task after a delayed API response","webkit","2026-02-22","passed","2026-02-22","Resilience to adverse network conditions","api-behavior.spec.ts","",""
"","323","TC-01 should add a new task via the Add button","chromium","2026-02-22","passed","2026-02-22","Task creation","crud.spec.ts","",""
"","1467","TC-11 should display tasks returned by the API on page load","firefox","2026-02-22","passed","2026-02-22","Initial data load","api-behavior.spec.ts","",""
"","623","TC-12 should POST the correct payload when creating a task","firefox","2026-02-22","passed","2026-02-22","Request payload validation","api-behavior.spec.ts","",""
"","6080","TC-04 should update a task title on save","webkit","2026-02-22","failed","2026-02-22","Task editing","crud.spec.ts","",""
"","2644","TC-12 should POST the correct payload when creating a task","webkit","2026-02-22","passed","2026-02-22","Request payload validation","api-behavior.spec.ts","",""
"","350","TC-13 should PUT the updated title when editing a task","chromium","2026-02-22","passed","2026-02-22","Request payload validation","api-behavior.spec.ts","",""
"","1581","TC-01 should add a new task via the Add button","firefox","2026-02-22","passed","2026-02-22","Task creation","crud.spec.ts","",""
"","640","TC-07 should unmark a completed task","firefox","2026-02-22","passed","2026-02-22","Task completion toggle","crud.spec.ts","",""
"","879","TC-23 should show an empty list after a page reload (API non-persistence)","webkit","2026-02-22","passed","2026-02-22","Boundary conditions","validation.spec.ts","",""
"","410","TC-23 should show an empty list after a page reload (API non-persistence)","chromium","2026-02-22","passed","2026-02-22","Boundary conditions","validation.spec.ts","",""
"","7074","TC-17 should show an error message when the API returns a 500","firefox","2026-02-22","failed","2026-02-22","Resilience to adverse network conditions","api-behavior.spec.ts","",""
"","538","TC-02 should add a new task by pressing Enter","firefox","2026-02-22","passed","2026-02-22","Task creation","crud.spec.ts","",""
"","227","TC-19 should not create a task when the input contains only whitespace","chromium","2026-02-22","passed","2026-02-22","Input validation","validation.spec.ts","",""
"","669","TC-05 should remove a task from the list","firefox","2026-02-22","passed","2026-02-22","Task deletion","crud.spec.ts","",""
"","1115","TC-03 should clear the input field after adding a task","webkit","2026-02-22","passed","2026-02-22","Task creation","crud.spec.ts","",""
"","1001","TC-05 should remove a task from the list","webkit","2026-02-22","passed","2026-02-22","Task deletion","crud.spec.ts","",""
"","219","TC-18 should not create a task when the input is empty","chromium","2026-02-22","passed","2026-02-22","Input validation","validation.spec.ts","",""
